DIRT,GRASS,TREE,FIRE,BURNT,FIREMEN ,TURN
1545,90,517,1455,393,39,464
1646,75,345,1016,918,37,1000
1703,50,237,1147,863,43,1000
1731,56,309,990,914,40,1000
1700,15,64,1307,914,38,1000
1632,16,48,1395,909,35,1000
1553,20,73,1446,908,35,1000
1556,26,128,1357,933,39,1000
1559,24,145,1356,916,34,1000
1519,51,237,1263,930,40,1000
1579,67,319,1162,873,42,1000
1461,61,354,1192,932,45,1000
1670,43,185,1197,905,38,1000
1606,38,168,1271,917,41,1000
1464,39,242,1346,909,36,1000
1509,56,355,1207,873,45,1000
1666,11,92,1313,918,39,1000
1590,51,239,1224,896,40,1000
1459,36,199,1380,926,41,1000
1477,59,293,1270,901,44,1000
1474,34,203,1363,926,36,1000
1595,75,348,1067,915,36,1000
1595,48,225,1258,874,43,1000
1619,69,333,1050,929,39,1000
