DIRT,GRASS,TREE,FIRE,BURNT,FIREMEN ,TURN
1695,101,547,765,892,41,1000
1261,3,28,1808,900,29,1000
1365,6,25,1703,901,26,1000
1291,1,11,1785,912,27,1000
1263,5,19,1793,920,22,1000
1433,27,133,1516,891,25,1000
1331,2,9,1740,918,21,1000
1427,40,173,1454,906,22,1000
1243,1,14,1825,917,24,1000
1301,7,19,1756,917,30,1000
1326,11,33,1730,900,24,1000
1276,1,0,1817,906,23,1000
1335,1,7,1744,913,26,1000
1371,8,29,1676,916,27,1000
1348,0,3,1730,919,26,1000
1314,12,70,1747,857,22,1000
1305,1,11,1768,915,25,1000
1333,2,8,1767,890,25,1000
1321,4,31,1726,918,25,1000
1372,10,52,1626,940,28,1000
